&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT    83    1  S    10 12 0  F                 331
DEFANT    83    1  S    10 12 1  F                 331
DEFANT    83    1  S    10 13 0  F                 331
DEFANT    83    1  S    10 13 1  F                 331
DEFANT    83    1  S    10 14 0  F                 331
DEFANT    83    1  S    10 14 1  F                 331
DEFANT    83    1  S    10 15 0  F                 331
DEFANT    83    1  S    10 15 1  F                 642
DEFANT    83    1  S    10 16 0  F                 643
DEFANT    83    1  S    10 16 1  F                1052
DEFANT    83    1  S    10 17 0  F                1055
DEFANT    83    1  S    10 17 1  F                1057
DEFANT    83    1  S    10 18 0  F                1419
DEFANT    83    1  S    10 18 1  F                1420
DEFANT    83    1  S    10 19 0  F                1417
DEFANT    83    1  S    10 19 1  F                1412
DEFANT    83    1  S    10 20 0  F                1489
DEFANT    83    1  S    10 20 1  F                2331
DEFANT    83    1  S    10 21 0  F                2088
DEFANT    83    1  S    10 21 1  F                2091
DEFANT    83    1  S    10 22 0  F                2231
DEFANT    83    1  S    10 22 1  F                2100
DEFANT    83    1  S    10 23 0  F                2070
DEFANT    83    1  S    10 23 1  F                2070
