***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________


 
Relatorio dos subsistemas 
 
  
OBS.:
1) A geracao de Itaipu injetada, no subsistema Sudeste (SE), inclui a geracao para atender a carga da ANDE.
2) Intercambio IV-SE nao corresponde a recebimento do SE pois Itaipu(60hz) ja se encontra no SE.
  
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
      ;        ;      ;    Cmo     ;   Demanda  ;   Perdas   ;   GpQusi   ;  GfixBar   ;  Grenova   ;  SomatGH   ;  SomatGT   ; ConsEleva  ;  Import.   ;  Export.   ; CortCarg.  ;   Saldo    ;Recebimento ; SomaGTMin  ; SomatGTMax ;   Earm     ;
 IPER ;  Pat   ; Sist ;   $/MWH    ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;    MWH     ;
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
  11  ;   LEVE ; NE   ;     282.70 ;   13305.22 ;     -      ;       0.00 ;       0.00 ;   21290.00 ;    2006.14 ;    1676.60 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11667.52 ;  -11667.52 ;       3.00 ;    5032.53 ;   26403.47 ;
  11  ;   LEVE ; N    ;     283.25 ;    8474.15 ;     -      ;       0.00 ;       0.00 ;     667.00 ;    2066.82 ;    2544.93 ;       0.00 ;       0.00 ;    1787.75 ;       0.00 ;   -4983.15 ;    4983.15 ;    1095.00 ;    3646.55 ;   13418.69 ;
  11  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  12  ;   LEVE ; SE   ;     259.13 ;   37184.80 ;     -      ;       0.00 ;       0.00 ;    5257.00 ;   14695.05 ;    5563.60 ;      23.64 ;    2922.09 ;    2522.09 ;       0.00 ;  -14020.29 ;   14020.29 ;    4621.00 ;   12837.46 ;   99488.31 ;
  12  ;   LEVE ; S    ;     259.27 ;   10275.88 ;     -      ;       0.00 ;       0.00 ;    2363.00 ;   11993.36 ;     994.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5074.48 ;   -5074.48 ;     930.00 ;    2180.57 ;   19157.47 ;
  12  ;   LEVE ; NE   ;     247.89 ;   12812.89 ;     -      ;       0.00 ;       0.00 ;   21772.00 ;    2006.16 ;    1639.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   12604.27 ;  -12604.27 ;       3.00 ;    5032.53 ;   26402.99 ;
  12  ;   LEVE ; N    ;     289.83 ;    8366.17 ;     -      ;       0.00 ;       0.00 ;     668.00 ;    2039.87 ;    2399.84 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -3658.46 ;    3658.46 ;    1095.00 ;    3646.55 ;   13418.69 ;
  12  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  13  ;   LEVE ; SE   ;     246.04 ;   37290.45 ;     -      ;       0.00 ;       0.00 ;    7086.00 ;   14686.82 ;    5485.60 ;      89.72 ;    4009.35 ;    2411.74 ;       0.00 ;  -11251.64 ;   11251.64 ;    4621.00 ;   12837.46 ;   99500.03 ;
  13  ;   LEVE ; S    ;     247.65 ;   10354.78 ;     -      ;       0.00 ;       0.00 ;    2499.00 ;    9551.73 ;     979.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    2674.95 ;   -2674.95 ;     930.00 ;    2180.57 ;   19156.95 ;
