***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / submercado / hora

------;-------;------;---------------;---------------;
 IPER ;  Pat  ; SIST ;     Cmarg     ;  PI_Demanda   ;
------;-------;------;---------------;---------------;
   44 ; MEDIA ; S    ;        279.72 ;        306.15 ;
   44 ; MEDIA ; NE   ;        302.38 ;        306.15 ;
   44 ; MEDIA ; N    ;        314.81 ;        306.16 ;
   44 ; MEDIA ; FC   ;          0.00 ;        306.16 ;
   45 ; MEDIA ; SE   ;        309.86 ;        305.44 ;
   45 ; MEDIA ; S    ;        279.24 ;        305.43 ;
   45 ; MEDIA ; NE   ;        302.44 ;        305.44 ;
   45 ; MEDIA ; N    ;        314.85 ;        305.45 ;
   45 ; MEDIA ; FC   ;          0.00 ;        305.44 ;
   46 ; MEDIA ; SE   ;        308.84 ;        304.37 ;
   46 ; MEDIA ; S    ;        277.93 ;        304.36 ;
   46 ; MEDIA ; NE   ;        301.71 ;        304.36 ;
   46 ; MEDIA ; N    ;        312.99 ;        304.37 ;
   46 ; MEDIA ; FC   ;          0.00 ;        304.37 ;
   47 ; MEDIA ; SE   ;        306.90 ;        302.31 ;
   47 ; MEDIA ; S    ;        275.23 ;        302.30 ;
   47 ; MEDIA ; NE   ;        300.31 ;        302.31 ;
   47 ; MEDIA ; N    ;        309.36 ;        302.32 ;
   47 ; MEDIA ; FC   ;          0.00 ;        302.31 ;
   48 ; MEDIA ; SE   ;        304.52 ;        299.81 ;
   48 ; MEDIA ; S    ;        272.13 ;        299.80 ;
   48 ; MEDIA ; NE   ;        298.60 ;        299.81 ;
   48 ; MEDIA ; N    ;        305.01 ;        299.82 ;
   48 ; MEDIA ; FC   ;          0.00 ;        299.81 ;
   49 ;  LEVE ; SE   ;          0.00 ;          0.00 ;
   49 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   49 ;  LEVE ; NE   ;          0.00 ;          0.00 ;
   49 ;  LEVE ; N    ;          0.01 ;          0.01 ;
   49 ;  LEVE ; FC   ;          0.00 ;          0.00 ;
   50 ; MEDIA ; SE   ;        309.58 ;        309.58 ;
   50 ; MEDIA ; S    ;        309.57 ;        309.57 ;
   50 ; MEDIA ; NE   ;        309.57 ;        309.57 ;
   50 ; MEDIA ; N    ;        309.58 ;        309.58 ;
   50 ; MEDIA ; FC   ;        309.58 ;        309.58 ;
   51 ; MEDIA ; SE   ;        289.84 ;        289.84 ;
   51 ; MEDIA ; S    ;        289.83 ;        289.83 ;
   51 ; MEDIA ; NE   ;        289.84 ;        289.84 ;
   51 ; MEDIA ; N    ;        289.85 ;        289.85 ;
   51 ; MEDIA ; FC   ;        289.84 ;        289.84 ;
   52 ;  LEVE ; SE   ;        250.64 ;        250.64 ;
   52 ;  LEVE ; S    ;        250.63 ;        250.63 ;
   52 ;  LEVE ; NE   ;        250.63 ;        250.63 ;
   52 ;  LEVE ; N    ;        250.64 ;        250.64 ;
   52 ;  LEVE ; FC   ;        250.63 ;        250.63 ;
   53 ; MEDIA ; SE   ;        245.87 ;        245.87 ;
   53 ; MEDIA ; S    ;        245.86 ;        245.86 ;
   53 ; MEDIA ; NE   ;        245.86 ;        245.86 ;
   53 ; MEDIA ; N    ;        245.87 ;        245.87 ;
   53 ; MEDIA ; FC   ;        245.87 ;        245.87 ;
   54 ;PESADA ; SE   ;        317.13 ;        317.13 ;
   54 ;PESADA ; S    ;        317.12 ;        317.12 ;
   54 ;PESADA ; NE   ;        317.12 ;        317.12 ;
   54 ;PESADA ; N    ;        317.13 ;        317.13 ;
   54 ;PESADA ; FC   ;        317.13 ;        317.13 ;
   55 ; MEDIA ; SE   ;        310.31 ;        310.31 ;
   55 ; MEDIA ; S    ;        310.30 ;        310.30 ;
   55 ; MEDIA ; NE   ;        310.30 ;        310.30 ;
   55 ; MEDIA ; N    ;        310.31 ;        310.31 ;
   55 ; MEDIA ; FC   ;        310.31 ;        310.31 ;
   56 ; MEDIA ; SE   ;        302.03 ;        302.03 ;
   56 ; MEDIA ; S    ;        302.03 ;        302.03 ;
   56 ; MEDIA ; NE   ;        302.03 ;        302.03 ;
   56 ; MEDIA ; N    ;        302.03 ;        302.03 ;
   56 ; MEDIA ; FC   ;        302.03 ;        302.03 ;
   57 ;  LEVE ; SE   ;        288.25 ;        288.25 ;
   57 ;  LEVE ; S    ;        288.24 ;        288.24 ;
   57 ;  LEVE ; NE   ;        288.24 ;        288.24 ;
   57 ;  LEVE ; N    ;        288.25 ;        288.25 ;
   57 ;  LEVE ; FC   ;        288.24 ;        288.24 ;
   58 ; MEDIA ; SE   ;        257.71 ;        257.71 ;
   58 ; MEDIA ; S    ;        257.70 ;        257.70 ;
   58 ; MEDIA ; NE   ;        257.70 ;        257.70 ;
   58 ; MEDIA ; N    ;        257.71 ;        257.71 ;
   58 ; MEDIA ; FC   ;        257.70 ;        257.70 ;
   59 ;PESADA ; SE   ;        319.71 ;        319.71 ;
   59 ;PESADA ; S    ;        319.70 ;        319.70 ;
   59 ;PESADA ; NE   ;        319.70 ;        319.70 ;
   59 ;PESADA ; N    ;        319.71 ;        319.71 ;
   59 ;PESADA ; FC   ;        319.71 ;        319.71 ;
   60 ; MEDIA ; SE   ;        310.18 ;        310.18 ;
   60 ; MEDIA ; S    ;        310.17 ;        310.17 ;
   60 ; MEDIA ; NE   ;        310.17 ;        310.17 ;
   60 ; MEDIA ; N    ;        310.18 ;        310.18 ;
   60 ; MEDIA ; FC   ;        310.18 ;        310.18 ;
   61 ; MEDIA ; SE   ;        300.64 ;        300.64 ;
   61 ; MEDIA ; S    ;        300.64 ;        300.64 ;
   61 ; MEDIA ; NE   ;        300.64 ;        300.64 ;
   61 ; MEDIA ; N    ;        300.64 ;        300.64 ;
   61 ; MEDIA ; FC   ;        300.64 ;        300.64 ;
   62 ;  LEVE ; SE   ;        287.03 ;        287.03 ;
   62 ;  LEVE ; S    ;        287.02 ;        287.02 ;
   62 ;  LEVE ; NE   ;        287.02 ;        287.02 ;
   62 ;  LEVE ; N    ;        287.03 ;        287.03 ;
   62 ;  LEVE ; FC   ;        287.03 ;        287.03 ;
   63 ; MEDIA ; SE   ;        249.82 ;        249.82 ;
   63 ; MEDIA ; S    ;        249.81 ;        249.81 ;
   63 ; MEDIA ; NE   ;        249.81 ;        249.81 ;
   63 ; MEDIA ; N    ;        249.82 ;        249.82 ;
   63 ; MEDIA ; FC   ;        249.81 ;        249.81 ;
   64 ;PESADA ; SE   ;        317.17 ;        317.17 ;
   64 ;PESADA ; S    ;        317.17 ;        317.17 ;
   64 ;PESADA ; NE   ;        317.17 ;        317.17 ;
   64 ;PESADA ; N    ;        317.17 ;        317.17 ;
   64 ;PESADA ; FC   ;        317.17 ;        317.17 ;
   65 ; MEDIA ; SE   ;        308.80 ;        308.80 ;
   65 ; MEDIA ; S    ;        308.79 ;        308.79 ;
   65 ; MEDIA ; NE   ;        308.79 ;        308.79 ;
   65 ; MEDIA ; N    ;        308.80 ;        308.80 ;
   65 ; MEDIA ; FC   ;        308.80 ;        308.80 ;
   66 ; MEDIA ; SE   ;        302.24 ;        302.24 ;
   66 ; MEDIA ; S    ;        302.23 ;        302.23 ;
   66 ; MEDIA ; NE   ;        302.23 ;        302.23 ;
   66 ; MEDIA ; N    ;        302.24 ;        302.24 ;
   66 ; MEDIA ; FC   ;        302.24 ;        302.24 ;
   67 ;  LEVE ; SE   ;        285.63 ;        285.63 ;
   67 ;  LEVE ; S    ;        285.62 ;        285.62 ;
   67 ;  LEVE ; NE   ;        285.62 ;        285.62 ;
   67 ;  LEVE ; N    ;        285.63 ;        285.63 ;
   67 ;  LEVE ; FC   ;        285.63 ;        285.63 ;
   68 ; MEDIA ; SE   ;        257.74 ;        257.74 ;
   68 ; MEDIA ; S    ;        257.73 ;        257.73 ;
   68 ; MEDIA ; NE   ;        257.73 ;        257.73 ;
   68 ; MEDIA ; N    ;        257.74 ;        257.74 ;
   68 ; MEDIA ; FC   ;        257.74 ;        257.74 ;
   69 ;PESADA ; SE   ;        318.32 ;        318.32 ;
   69 ;PESADA ; S    ;        318.31 ;        318.31 ;
   69 ;PESADA ; NE   ;        318.31 ;        318.31 ;
   69 ;PESADA ; N    ;        318.32 ;        318.32 ;
   69 ;PESADA ; FC   ;        318.32 ;        318.32 ;
   70 ; MEDIA ; SE   ;        312.59 ;        312.59 ;
   70 ; MEDIA ; S    ;        312.58 ;        312.58 ;
   70 ; MEDIA ; NE   ;        312.58 ;        312.58 ;
   70 ; MEDIA ; N    ;        312.59 ;        312.59 ;
