***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________

----------------------------------------------
Geracao e custos marginais por unidade termica                                  
----------------------------------------------
------------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
USIT:      Numero de cadastro da usina termoeletrica                                                                                                                                                    
UNIDT:     Numero de cadastro da unidade termoeletrica                                                                                                                                                  
Nome Usit: Nome da usina termoeletrica                                                                                                                                                                  
NomeSist:  Nome do subsistema                                                                                                                                                                           
NumBarra:  Numero da barra da rede eletrica                                                                                                                                                             
GTER:      Geracao Termoeletrica                                                                                                                                                                        
ClinGter:  Custo linear de geracao da unidade termica                                                                                                                                                   
CMO:       Custo marginal de operacao                                                                                                                                                                   
CMB:       Custo marginal de operacao da barra                                                                                                                                                          
------------------------------------------------------

-----;-----;------;--------------;--------;--------;---------;---------;----------;------------;
IPER ;USIT ;UNIDT ;  Nome Usit   ;NomeSist;NumBarra;  GTER   ;ClinGter ;   CMO    ;    CMB     ;
  -  ;  -  ;  -   ;      -       ;   -    ;   -    ;  (MW)   ; ($/MWh) ; (R$/MWh) ;  (R$/MWh)  ;
-----;-----;------;--------------;--------;--------;---------;---------;----------;------------;
   1 ; 062 ; 002  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;  1161.35;   304.30 ;     301.04 ;
   1 ; 062 ; 003  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;  1161.35;   304.30 ;     301.04 ;
   1 ; 062 ; 004  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;  1161.35;   304.30 ;     301.04 ;
   1 ; 062 ; 005  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;  1161.35;   304.30 ;     301.04 ;
   1 ; 062 ; 006  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;  1161.35;   304.30 ;     301.04 ;
   1 ; 062 ; 007  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;  1161.35;   304.30 ;     301.04 ;
   1 ; 062 ; 008  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;  1161.35;   304.30 ;     301.04 ;
   1 ; 063 ; 001  ; IBIRITE      ; SE     ;  1585  ;     0.00;   942.64;   304.30 ;     301.10 ;
   1 ; 064 ; 001  ; CANOAS       ; S      ;  1152  ;     0.00;  1371.46;   279.26 ;     278.74 ;
   1 ; 067 ; 001  ; TERMONE      ; NE     ;  5219  ;     0.00;  1753.30;   300.57 ;     300.56 ;
   1 ; 067 ; 002  ; TERMONE      ; NE     ;  5219  ;     0.00;  1753.30;   300.57 ;     300.56 ;
   1 ; 067 ; 003  ; TERMONE      ; NE     ;  5219  ;     0.00;  1753.30;   300.57 ;     300.56 ;
   1 ; 068 ; 001  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 002  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 003  ; TRES LAGOAS  ; SE     ;  3525  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 004  ; TRES LAGOAS  ; SE     ;  3525  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 005  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 006  ; TRES LAGOAS  ; SE     ;  3525  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 007  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 008  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 009  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 010  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 011  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 012  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 013  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 014  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 068 ; 015  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   846.18;   304.30 ;     300.63 ;
   1 ; 069 ; 001  ; TERMOPB      ; NE     ;  5218  ;     0.00;  1753.30;   300.57 ;     300.56 ;
   1 ; 069 ; 002  ; TERMOPB      ; NE     ;  5218  ;     0.00;  1753.30;   300.57 ;     300.56 ;
   1 ; 069 ; 003  ; TERMOPB      ; NE     ;  5218  ;     0.00;  1753.30;   300.57 ;     300.56 ;
   1 ; 070 ; 001  ; GERAMAR II   ; N      ;  6447  ;     0.00;   998.68;   300.54 ;     300.49 ;
   1 ; 073 ; 001  ; GERAMAR I    ; N      ;  5557  ;     0.00;   998.68;   300.54 ;     300.49 ;
   1 ; 083 ; 002  ; VALE DO ACU  ; NE     ;  5466  ;     0.00;   450.86;   300.57 ;     300.54 ;
   1 ; 086 ; 001  ; ST.CRUZ NOVA ; SE     ;    32  ;   350.00;   195.86;   304.30 ;     301.01 ;
   1 ; 086 ; 002  ; ST.CRUZ NOVA ; SE     ;    32  ;     0.00;   195.86;   304.30 ;     301.01 ;
   1 ; 086 ; 003  ; ST.CRUZ NOVA ; SE     ;    32  ;     0.00;   195.86;   304.30 ;     301.01 ;
   1 ; 086 ; 004  ; ST.CRUZ NOVA ; SE     ;    32  ;     0.00;   195.86;   304.30 ;     301.01 ;
   1 ; 090 ; 001  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 002  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 003  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 004  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 005  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 006  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 007  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 008  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 009  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 010  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 011  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 012  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 013  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 014  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 015  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 016  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 017  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 018  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 019  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 090 ; 020  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   958.78;   304.30 ;     301.03 ;
   1 ; 096 ; 001  ; TERMOPE      ; NE     ;  5151  ;     0.00;   858.48;   300.57 ;     300.57 ;
   1 ; 096 ; 002  ; TERMOPE      ; NE     ;  5151  ;     0.00;   858.48;   300.57 ;     300.57 ;
   1 ; 096 ; 003  ; TERMOPE      ; NE     ;  5151  ;     0.00;   858.48;   300.57 ;     300.57 ;
   1 ; 097 ; 001  ; CUBATAO      ; SE     ;  9100  ;     0.00;   384.92;   304.30 ;     318.42 ;
   1 ; 097 ; 002  ; CUBATAO      ; SE     ;  9101  ;     0.00;   384.92;   304.30 ;     318.42 ;
   1 ; 097 ; 003  ; CUBATAO      ; SE     ;  9100  ;     0.00;   384.92;   304.30 ;     318.42 ;
   1 ; 098 ; 001  ; PERNAMBU_III ; NE     ;  5178  ;     0.00;   831.38;   300.57 ;     300.57 ;
   1 ; 098 ; 002  ; PERNAMBU_III ; NE     ;  5178  ;     0.00;   831.38;   300.57 ;     300.57 ;
