NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
 71 STA CLARA PR   1    15      F                 113
 71 STA CLARA PR   1    16      F                 101
 71 STA CLARA PR   1    17      F                  95
 72 FUNDAO         1    11      F                   6
 72 FUNDAO         1    12      F                  12
 72 FUNDAO         1    13      F                  14
 72 FUNDAO         1    14      F                  10
 72 FUNDAO         1    15      F                   8
 72 FUNDAO         1    17      F                  12
 57 MAUA           1    11      F                 155
 57 MAUA           1    12      F                 148
 57 MAUA           1    13      F                 238
 57 MAUA           1    14      F                 240
 57 MAUA           1    15      F                 225
 57 MAUA           1    16      F                 211
 57 MAUA           1    17      F                 199
 77 SLT.SANTIAGO   1    11      F                 115
 77 SLT.SANTIAGO   1    12      F                 153
 77 SLT.SANTIAGO   1    13      F                 218
 77 SLT.SANTIAGO   1    14      F                 193
 77 SLT.SANTIAGO   1    15      F                 169
 77 SLT.SANTIAGO   1    16      F                 151
 77 SLT.SANTIAGO   1    17      F                 170
 78 SALTO OSORIO   1    11      F                  45
 78 SALTO OSORIO   1    12      F                  61
 78 SALTO OSORIO   1    13      F                  86
 78 SALTO OSORIO   1    14      F                  76
 78 SALTO OSORIO   1    15      F                  67
 78 SALTO OSORIO   1    16      F                  59
 78 SALTO OSORIO   1    17      F                  67
 93 PASSO FUNDO    1    11      F                  74
 93 PASSO FUNDO    1    12      F                  94
 93 PASSO FUNDO    1    13      F                 149
 93 PASSO FUNDO    1    14      F                 135
 93 PASSO FUNDO    1    15      F                 113
 93 PASSO FUNDO    1    16      F                 103
 93 PASSO FUNDO    1    17      F                 141
 91 MACHADINHO     1    11      F                 145
 91 MACHADINHO     1    12      F                 125
 91 MACHADINHO     1    13      F                 132
 91 MACHADINHO     1    14      F                 425
 91 MACHADINHO     1    15      F                 458
 91 MACHADINHO     1    16      F                 314
 91 MACHADINHO     1    17      F                 231
 92 ITA            1    11      F                 333
 92 ITA            1    12      F                 295
 92 ITA            1    13      F                 386
 92 ITA            1    14      F                 495
 92 ITA            1    15      F                 457
 92 ITA            1    16      F                 392
 92 ITA            1    17      F                 369
252 CANA BRAVA     1    11      F                   4
252 CANA BRAVA     1    13      F                   5
252 CANA BRAVA     1    14      F                   7
253 SAO SALVADOR   1    11      F                   4
253 SAO SALVADOR   1    13      F                   5
253 SAO SALVADOR   1    14      F                   6
253 SAO SALVADOR   1    15      F                   7
267 ESTREITO TOC   1    11      F                 356
267 ESTREITO TOC   1    12      F                 418
267 ESTREITO TOC   1    13      F                 486
267 ESTREITO TOC   1    14      F                 587
267 ESTREITO TOC   1    15      F                 678
267 ESTREITO TOC   1    16      F                 724
267 ESTREITO TOC   1    17      F                 728
281 PONTE PEDRA    1    11      F                  55
281 PONTE PEDRA    1    13      F                  59
281 PONTE PEDRA    1    14      F                  61
281 PONTE PEDRA    1    16      F                  60
281 PONTE PEDRA    1    17      F                  59
  9 JAGUARA        1    11      F                   3
 26 MIRANDA        1    11      F                   2
 26 MIRANDA        1    15      F                   3
 86 BARRA GRANDE   1    11      F                 250
 86 BARRA GRANDE   1    12      F                 295
 86 BARRA GRANDE   1    13      F                 515
 86 BARRA GRANDE   1    14      F                 542
 86 BARRA GRANDE   1    15      F                 404
 86 BARRA GRANDE   1    16      F                 326
 86 BARRA GRANDE   1    17      F                 433
 90 CAMPOS NOVOS   1    11      F                  41
 90 CAMPOS NOVOS   1    12      F                  37
 90 CAMPOS NOVOS   1    13      F                  35
 90 CAMPOS NOVOS   1    14      F                  46
 90 CAMPOS NOVOS   1    15      F                  51
 90 CAMPOS NOVOS   1    16      F                  46
 90 CAMPOS NOVOS   1    17      F                  41
 97 CASTRO ALVES   1    11      F                 144
 97 CASTRO ALVES   1    12      F                 157
 97 CASTRO ALVES   1    13      F                 342
 97 CASTRO ALVES   1    14      F                 322
 97 CASTRO ALVES   1    15      F                 221
 97 CASTRO ALVES   1    16      F                 169
 97 CASTRO ALVES   1    17      F                 221
 98 MONTE CLARO    1    11      F                 107
 98 MONTE CLARO    1    12      F                 106
 98 MONTE CLARO    1    13      F                 165
 98 MONTE CLARO    1    14      F                 193
 98 MONTE CLARO    1    15      F                 153
 98 MONTE CLARO    1    16      F                 130
 98 MONTE CLARO    1    17      F                 167
 99 14 DE JULHO    1    11      F                  14
 99 14 DE JULHO    1    13      F                  21
 99 14 DE JULHO    1    14      F                  25
 99 14 DE JULHO    1    15      F                  20
 99 14 DE JULHO    1    16      F                  17
 99 14 DE JULHO    1    17      F                  21
225 S APIACAS      1    11      F                  18
225 S APIACAS      1    17      F                  19
103 FOZ CHAPECO    1    11      F                 194
103 FOZ CHAPECO    1    12      F                 184
103 FOZ CHAPECO    1    13      F                 230
103 FOZ CHAPECO    1    14      F                 372
103 FOZ CHAPECO    1    15      F                 279
103 FOZ CHAPECO    1    16      F                 223
103 FOZ CHAPECO    1    17      F                 214
169 SOBRADINHO     3    11      F                 795
169 SOBRADINHO     3    12      F                 778
169 SOBRADINHO     3    13      F                 759
169 SOBRADINHO     3    14      F                 741
169 SOBRADINHO     3    15      F                 725
169 SOBRADINHO     3    16      F                 715
169 SOBRADINHO     3    17      F                 707
172 ITAPARICA      1    11      F                   0
173 MOXOTO         1    11      F                   0
174 P.AFONSO 123   1    11      F                   0
175 P.AFONSO 4     1    11      F                   0
178 XINGO          1    11      F                   0
190 B. ESPERANCA   1    11      F                 158
190 B. ESPERANCA   1    13      F                 157
190 B. ESPERANCA   1    15      F                 156
189 P. CAVALO      1    11      F                  11
275 TUCURUI        1    11      F                 502
275 TUCURUI        1    12      F                 514
275 TUCURUI        1    13      F                 528
275 TUCURUI        1    14      F                 546
275 TUCURUI        1    15      F                 555
275 TUCURUI        1    16      F                 552
275 TUCURUI        1    17      F                 543
272 CURUA-UNA      1    11      F                 128
272 CURUA-UNA      1    12      F                 129
272 CURUA-UNA      1    14      F                 128
272 CURUA-UNA      1    15      F                 127
