-----;----;-----;-----------;------;----;-----------------;---------;-----------------;----------;------------;-------------;------------------------------;
IPER ;TIPO;CONTR; NomeContr ;Barra ;Sist; Inflexibilidade ;CustContr;     Geracao     ;   CMO    ;    CMB     ;ORD.MER.TOTAL;          Titulacao           ;
  -  ; -  ;  -  ;     -     ;  -   ; -  ;       MW        ;  (MW)   ;       MW        ; (R$/MWh) ;  (R$/MWh)  ;      -      ;              -               ;
-----;----;-----;-----------;------;----;-----------------;---------;-----------------;----------;------------;-------------;------------------------------;
  48 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   304.52 ;     300.05 ;             ; Inflexibilidade              ;
  48 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   304.52 ;     300.05 ;     MAX     ; Ordem de merito              ;
  49 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;      -     ;             ; Inflexibilidade              ;
  49 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;      -     ;             ; Inflexibilidade              ;
  50 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   309.58 ;      -     ;             ; Inflexibilidade              ;
  50 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   309.58 ;      -     ;     MAX     ; Ordem de merito              ;
  51 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   289.84 ;      -     ;             ; Inflexibilidade              ;
  51 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   289.84 ;      -     ;     MAX     ; Ordem de merito              ;
  52 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   250.64 ;      -     ;             ; Inflexibilidade              ;
  52 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   250.64 ;      -     ;             ; Inflexibilidade              ;
  53 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   245.87 ;      -     ;             ; Inflexibilidade              ;
  53 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   245.87 ;      -     ;             ; Inflexibilidade              ;
  54 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   317.13 ;      -     ;             ; Inflexibilidade              ;
  54 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   317.13 ;      -     ;     MAX     ; Ordem de merito              ;
  55 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   310.31 ;      -     ;             ; Inflexibilidade              ;
  55 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   310.31 ;      -     ;     MAX     ; Ordem de merito              ;
  56 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   302.03 ;      -     ;             ; Inflexibilidade              ;
  56 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   302.03 ;      -     ;     MAX     ; Ordem de merito              ;
  57 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   288.25 ;      -     ;             ; Inflexibilidade              ;
  57 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   288.25 ;      -     ;     MAX     ; Ordem de merito              ;
  58 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   257.71 ;      -     ;             ; Inflexibilidade              ;
  58 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   257.71 ;      -     ;             ; Inflexibilidade              ;
  59 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   319.71 ;      -     ;             ; Inflexibilidade              ;
  59 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   319.71 ;      -     ;     MAX     ; Ordem de merito              ;
  60 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   310.18 ;      -     ;             ; Inflexibilidade              ;
  60 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   310.18 ;      -     ;     MAX     ; Ordem de merito              ;
  61 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   300.64 ;      -     ;             ; Inflexibilidade              ;
  61 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   300.64 ;      -     ;     MAX     ; Ordem de merito              ;
  62 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   287.03 ;      -     ;             ; Inflexibilidade              ;
  62 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   287.03 ;      -     ;     MAX     ; Ordem de merito              ;
  63 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   249.82 ;      -     ;             ; Inflexibilidade              ;
  63 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   249.82 ;      -     ;             ; Inflexibilidade              ;
  64 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   317.17 ;      -     ;             ; Inflexibilidade              ;
  64 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   317.17 ;      -     ;     MAX     ; Ordem de merito              ;
  65 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   308.80 ;      -     ;             ; Inflexibilidade              ;
  65 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   308.80 ;      -     ;     MAX     ; Ordem de merito              ;
  66 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   302.24 ;      -     ;             ; Inflexibilidade              ;
  66 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   302.24 ;      -     ;     MAX     ; Ordem de merito              ;
  67 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   285.63 ;      -     ;             ; Inflexibilidade              ;
  67 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   285.63 ;      -     ;     MAX     ; Ordem de merito              ;
  68 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   257.74 ;      -     ;             ; Inflexibilidade              ;
  68 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   257.74 ;      -     ;             ; Inflexibilidade              ;
  69 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   318.32 ;      -     ;             ; Inflexibilidade              ;
  69 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   318.32 ;      -     ;     MAX     ; Ordem de merito              ;
  70 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   312.59 ;      -     ;             ; Inflexibilidade              ;
  70 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   312.59 ;      -     ;     MAX     ; Ordem de merito              ;
  71 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   304.19 ;      -     ;             ; Inflexibilidade              ;
  71 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   304.19 ;      -     ;     MAX     ; Ordem de merito              ;
  72 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   287.80 ;      -     ;             ; Inflexibilidade              ;
  72 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   287.80 ;      -     ;     MAX     ; Ordem de merito              ;
  73 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   272.60 ;      -     ;             ; Inflexibilidade              ;
  73 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   272.60 ;      -     ;     MAX     ; Ordem de merito              ;
  74 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   316.95 ;      -     ;             ; Inflexibilidade              ;
