NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
114 D. FRANCISCA   1    07      F                 240
114 D. FRANCISCA   1    08      F                 180
114 D. FRANCISCA   1    09      F                 124
114 D. FRANCISCA   1    10      F                 120
 74 G.B. MUNHOZ    1    04      F                 545
 74 G.B. MUNHOZ    1    05      F                 543
 74 G.B. MUNHOZ    1    06      F                 517
 74 G.B. MUNHOZ    1    07      F                 509
 74 G.B. MUNHOZ    1    08      F                 598
 74 G.B. MUNHOZ    1    09      F                 697
 74 G.B. MUNHOZ    1    10      F                 709
 76 SEGREDO        1    04      F                 171
 76 SEGREDO        1    05      F                 143
 76 SEGREDO        1    06      F                 129
 76 SEGREDO        1    07      F                 177
 76 SEGREDO        1    08      F                 231
 76 SEGREDO        1    09      F                 210
 76 SEGREDO        1    10      F                 200
 82 SALTO CAXIAS   1    04      F                 332
 82 SALTO CAXIAS   1    05      F                 295
 82 SALTO CAXIAS   1    06      F                 269
 82 SALTO CAXIAS   1    07      F                 296
 82 SALTO CAXIAS   1    08      F                 337
 82 SALTO CAXIAS   1    09      F                 340
 82 SALTO CAXIAS   1    10      F                 332
 83 BAIXO IGUACU   1    04      F                 133
 83 BAIXO IGUACU   1    05      F                 118
 83 BAIXO IGUACU   1    06      F                 108
 83 BAIXO IGUACU   1    07      F                 119
 83 BAIXO IGUACU   1    08      F                 135
 83 BAIXO IGUACU   1    09      F                 136
 83 BAIXO IGUACU   1    10      F                 133
115 G.P. SOUZA     1    04      F                  11
115 G.P. SOUZA     1    05      F                  10
115 G.P. SOUZA     1    06      F                   9
 73 JORDAO         1    04      F                  33
 73 JORDAO         1    05      F                  28
 73 JORDAO         1    06      F                  25
 73 JORDAO         1    07      F                  35
 73 JORDAO         1    08      F                  45
 73 JORDAO         1    09      F                  41
 73 JORDAO         1    10      F                  39
 71 STA CLARA PR   1    04      F                  90
 71 STA CLARA PR   1    05      F                  82
 71 STA CLARA PR   1    06      F                  76
 71 STA CLARA PR   1    07      F                  81
 71 STA CLARA PR   1    08      F                 118
 71 STA CLARA PR   1    09      F                 132
 71 STA CLARA PR   1    10      F                 128
 72 FUNDAO         1    04      F                   8
 72 FUNDAO         1    05      F                   7
 72 FUNDAO         1    06      F                   6
 72 FUNDAO         1    07      F                   9
 72 FUNDAO         1    08      F                  11
 72 FUNDAO         1    09      F                  10
 57 MAUA           1    04      F                 107
 57 MAUA           1    05      F                 102
 57 MAUA           1    06      F                  98
 57 MAUA           1    07      F                  93
 57 MAUA           1    08      F                  99
 57 MAUA           1    09      F                 100
 57 MAUA           1    10      F                  97
 77 SLT.SANTIAGO   1    04      F                 133
 77 SLT.SANTIAGO   1    05      F                 118
 77 SLT.SANTIAGO   1    06      F                 108
 77 SLT.SANTIAGO   1    07      F                 119
 77 SLT.SANTIAGO   1    08      F                 135
